TPD ID	Activity Type	Target Symbols	Target IDs	Cell Line	Activity
TPD-CRPSX6	DC50_2	ERα	P03372	T-47D	B
TPD-H1BFY0	DC50_2	ERα	P03372	T-47D	B
TPD-COE74A	DC50_2	ERα	P03372	T-47D	B
TPD-NTYKPW	DC50_2	ERα	P03372	T-47D	B
TPD-SAFMPG	DC50_2	ERα	P03372	T-47D	C
TPD-73RYBX	DC50_2	ERα	P03372	T-47D	C
TPD-YU4S7I	DC50_2	ERα	P03372	T-47D	B
TPD-1WT0A0	DC50_2	ERα	P03372	T-47D	B
TPD-GLHVW3	DC50_2	ERα	P03372	T-47D	B
TPD-3LH6TB	DC50_2	ERα	P03372	T-47D	C
TPD-S15SUM	DC50_2	ERα	P03372	T-47D	B
TPD-K7N9FF	DC50_2	ERα	P03372	T-47D	B
TPD-YCS3CX	DC50_2	ERα	P03372	T-47D	B
TPD-MRGUS4	DC50_2	ERα	P03372	T-47D	C
TPD-6AUBKE	DC50_2	ERα	P03372	T-47D	C
TPD-1SSLFJ	DC50_2	ERα	P03372	T-47D	B
TPD-BPRG2K	DC50_2	ERα	P03372	T-47D	B
TPD-KJH70S	DC50_2	ERα	P03372	T-47D	B
TPD-Z5FZNU	DC50_2	ERα	P03372	T-47D	B
TPD-HXDGGS	DC50_2	ERα	P03372	T-47D	B
TPD-HB2BIU	DC50_2	ERα	P03372	T-47D	B
TPD-F7GA9T	DC50_2	ERα	P03372	T-47D	C
TPD-B4RPBA	DC50_2	ERα	P03372	T-47D	B
TPD-EX6LJM	DC50_2	ERα	P03372	T-47D	B
TPD-B80ODV	DC50_2	ERα	P03372	T-47D	B
TPD-USQXNW	DC50_2	ERα	P03372	T-47D	B
TPD-40469G	DC50_2	ERα	P03372	T-47D	B
TPD-IE3EZH	DC50_2	ERα	P03372	T-47D	B
TPD-VWH3ND	DC50_2	ERα	P03372	T-47D	B
TPD-ADVQKO	DC50_2	ERα	P03372	T-47D	A
TPD-R7VI8H	DC50_2	ERα	P03372	T-47D	A
TPD-S956HM	DC50_2	ERα	P03372	T-47D	B
TPD-2SZHBJ	DC50_2	ERα	P03372	T-47D	B
TPD-KYC0LU	DC50_2	ERα	P03372	T-47D	C
TPD-1OLW70	DC50_2	ERα	P03372	T-47D	C
TPD-28OJT2	DC50_2	ERα	P03372	T-47D	C
TPD-ICZA1U	DC50_2	ERα	P03372	T-47D	B
TPD-KFHXD8	Dmax_2	ERα	P03372	T-47D	B
TPD-S2GIYM	Dmax_2	ERα	P03372	T-47D	B
TPD-9N60HD	Dmax_2	ERα	P03372	T-47D	B
TPD-45VYEK	Dmax_2	ERα	P03372	T-47D	B
TPD-ZK20M9	Dmax_2	ERα	P03372	T-47D	A
TPD-4SHHXD	Dmax_2	ERα	P03372	T-47D	B
TPD-CRPSX6	Dmax_2	ERα	P03372	T-47D	B
TPD-GT89OF	Dmax_2	ERα	P03372	T-47D	C
TPD-H1BFY0	Dmax_2	ERα	P03372	T-47D	A
TPD-COE74A	Dmax_2	ERα	P03372	T-47D	B
TPD-NTYKPW	Dmax_2	ERα	P03372	T-47D	A
TPD-SAFMPG	Dmax_2	ERα	P03372	T-47D	B
TPD-73RYBX	Dmax_2	ERα	P03372	T-47D	A
TPD-YU4S7I	Dmax_2	ERα	P03372	T-47D	B
TPD-1WT0A0	Dmax_2	ERα	P03372	T-47D	B
TPD-GLHVW3	Dmax_2	ERα	P03372	T-47D	B
TPD-3LH6TB	Dmax_2	ERα	P03372	T-47D	A
TPD-S15SUM	Dmax_2	ERα	P03372	T-47D	A
TPD-K7N9FF	Dmax_2	ERα	P03372	T-47D	A
TPD-YCS3CX	Dmax_2	ERα	P03372	T-47D	B
TPD-MRGUS4	Dmax_2	ERα	P03372	T-47D	A
TPD-6AUBKE	Dmax_2	ERα	P03372	T-47D	A
TPD-2I1VRL	Dmax_2	ERα	P03372	T-47D	C
TPD-1SSLFJ	Dmax_2	ERα	P03372	T-47D	B
TPD-BPRG2K	Dmax_2	ERα	P03372	T-47D	B
TPD-KJH70S	Dmax_2	ERα	P03372	T-47D	B
TPD-Z5FZNU	Dmax_2	ERα	P03372	T-47D	B
TPD-HXDGGS	Dmax_2	ERα	P03372	T-47D	B
TPD-HB2BIU	Dmax_2	ERα	P03372	T-47D	B
TPD-F7GA9T	Dmax_2	ERα	P03372	T-47D	A
TPD-B4RPBA	Dmax_2	ERα	P03372	T-47D	B
TPD-DFD7XZ	Dmax_2	ERα	P03372	T-47D	C
TPD-EX6LJM	Dmax_2	ERα	P03372	T-47D	A
TPD-B80ODV	Dmax_2	ERα	P03372	T-47D	A
TPD-USQXNW	Dmax_2	ERα	P03372	T-47D	A
TPD-40469G	Dmax_2	ERα	P03372	T-47D	A
TPD-IE3EZH	Dmax_2	ERα	P03372	T-47D	A
TPD-VWH3ND	Dmax_2	ERα	P03372	T-47D	B
TPD-ADVQKO	Dmax_2	ERα	P03372	T-47D	A
TPD-R7VI8H	Dmax_2	ERα	P03372	T-47D	B
TPD-S956HM	Dmax_2	ERα	P03372	T-47D	A
TPD-2SZHBJ	Dmax_2	ERα	P03372	T-47D	A
TPD-KYC0LU	Dmax_2	ERα	P03372	T-47D	A
TPD-1OLW70	Dmax_2	ERα	P03372	T-47D	A
TPD-28OJT2	Dmax_2	ERα	P03372	T-47D	A
TPD-ICZA1U	Dmax_2	ERα	P03372	T-47D	B
TPD-DRA1NJ	Dmax	α-syn	P37840	HEK293	A
TPD-VLH2QZ	Dmax	α-syn	P37840	HEK293	B
TPD-9Q2MZJ	Dmax	α-syn	P37840	HEK293	B
TPD-4PAMCT	Dmax	α-syn	P37840	HEK293	A
TPD-CQRS35	Dmax	α-syn	P37840	HEK293	A
TPD-W46FZG	Dmax	α-syn	P37840	HEK293	B
TPD-SGCCMQ	Dmax	α-syn	P37840	HEK293	C
TPD-OLV7BJ	Dmax	α-syn	P37840	HEK293	D
TPD-V4ZPQI	Dmax	α-syn	P37840	HEK293	D
TPD-NBYFGU	Dmax	α-syn	P37840	HEK293	D
TPD-KX48D3	Dmax	α-syn	P37840	HEK293	B
TPD-PZCQZH	Dmax	α-syn	P37840	HEK293	B
TPD-NDYVU6	Dmax	α-syn	P37840	HEK293	C
TPD-TCZR45	Dmax	α-syn	P37840	HEK293	C
TPD-WAOVRF	Dmax	α-syn	P37840	HEK293	B
TPD-1NJGWT	Dmax	α-syn	P37840	HEK293	B
TPD-OMYUDC	Dmax	α-syn	P37840	HEK293	B
TPD-1V23VW	Dmax	α-syn	P37840	HEK293	B
TPD-ZJL8AS	Dmax	α-syn	P37840	HEK293	D
TPD-25HADY	Dmax	α-syn	P37840	HEK293	D
TPD-RIQGXB	Dmax	α-syn	P37840	HEK293	B
TPD-Y4P0IL	Dmax	α-syn	P37840	HEK293	D
TPD-IRERB0	Dmax	α-syn	P37840	HEK293	B
TPD-BK50TB	Dmax	α-syn	P37840	HEK293	C
TPD-12C0L8	Dmax	α-syn	P37840	HEK293	A
TPD-IMSSYV	Dmax	α-syn	P37840	HEK293	B
TPD-NNKWP1	Dmax	α-syn	P37840	HEK293	D
TPD-8BA0WZ	Dmax	α-syn	P37840	HEK293	C
TPD-DZ1NBE	DC50	AR	P10275	Lncap	3.0 nM
TPD-R8ABHW	DC50	AR	P10275	Lncap	>10000 nM
TPD-9OEZJ0	DC50	AR	P10275	Lncap	>10000 nM
TPD-0PI4OQ	DC50	AR	P10275	Lncap	>10000 nM
TPD-RYS0YC	DC50	AR	P10275	Lncap	>10000 nM
TPD-BC7Q10	DC50	AR	P10275	Lncap	>10000 nM
TPD-BKFLHQ	DC50	AR	P10275	Lncap	>10000 nM
TPD-E8EIC1	DC50	AR	P10275	Lncap	>10000 nM
TPD-1N93PU	DC50	AR	P10275	Lncap	11.6 nM
TPD-NNATRU	DC50	AR	P10275	Lncap	>10000 nM
TPD-UPZ4FZ	DC50	AR	P10275	Lncap	>10000 nM
TPD-004EZ5	DC50	AR	P10275	Lncap	>10000 nM
TPD-2GRWSG	DC50	AR	P10275	Lncap	>10000 nM
TPD-ZOAAXB	DC50	AR	P10275	Lncap	>10000 nM
TPD-HZ8BH7	DC50	AR	P10275	Lncap	4.82 nM
TPD-MJAUU1	DC50	AR	P10275	Lncap	16.6 nM
TPD-7DW01Y	DC50	AR	P10275	Lncap	>10000 nM
TPD-S46ZHD	DC50	AR	P10275	Lncap	>10000 nM
TPD-NIS401	DC50	AR	P10275	Lncap	45.4 nM
TPD-7M05HA	DC50	AR	P10275	Lncap	8.5 nM
TPD-DOEGT7	DC50	AR	P10275	Lncap	2.8 nM
TPD-EOA0Z1	DC50	AR	P10275	Lncap	7.7 nM
TPD-A55JM8	DC50	AR	P10275	Lncap	9.2 nM
TPD-9VMKT0	DC50	AR	P10275	Lncap	4.9 nM
TPD-B3IQ04	DC50	AR	P10275	Lncap	33.3 nM
TPD-7315QN	DC50	AR	P10275	Lncap	16.5 nM
TPD-MAVBMH	DC50	AR	P10275	Lncap	>2000 nM
TPD-W9ORP2	DC50	AR	P10275	Lncap	9.1 nM
TPD-UQ1N53	DC50	AR	P10275	Lncap	5.3 nM
TPD-EMW1Q1	DC50	AR	P10275	Lncap	7.8 nM
TPD-QJTDSP	DC50	AR	P10275	Lncap	>10000 nM
TPD-T4H4SQ	DC50	AR	P10275	Lncap	>10000 nM
TPD-M2BU7J	DC50	AR	P10275	Lncap	>10000 nM
TPD-G2775F	DC50	AR	P10275	Lncap	>10000 nM
TPD-GBVVV2	DC50	AR	P10275	Lncap	>10000 nM
TPD-XKVWFV	DC50	AR	P10275	Lncap	9.8 nM
TPD-2JJBJC	DC50	AR	P10275	Lncap	>10000 nM
TPD-ZRZAPF	DC50	AR	P10275	Lncap	9.7 nM
TPD-EOPSNP	DC50	AR	P10275	Lncap	10.1 nM
TPD-PN2H5H	DC50	AR	P10275	Lncap	10.7 nM
TPD-UD3YLC	DC50	AR	P10275	Lncap	7.8 nM
TPD-9TKRUC	DC50	AR	P10275	Lncap	>10000 nM
TPD-SG524T	DC50	AR	P10275	Lncap	>10000 nM
TPD-B6PLNS	DC50	AR	P10275	Lncap	>10000 nM
TPD-7WDZ01	DC50	AR	P10275	Lncap	>10000 nM
TPD-6OEQQU	IC50_1	BRD4	O60885	.	26.4 nM
TPD-79ZJ5R	IC50_1	BRD4	O60885	.	33.4 nM
TPD-MERCNF	IC50_1	BRD4	O60885	.	37.8 nM
TPD-2Q9NZ5	IC50_1	BRD4	O60885	.	36.4 nM
TPD-CEUNNZ	IC50_1	BRD4	O60885	.	14.9 nM
TPD-TAGYBJ	IC50_1	BRD4	O60885	.	9.9 nM
TPD-K47317	IC50_1	BRD4	O60885	.	33.7 nM
TPD-VJEWOR	IC50_1	BRD4	O60885	.	18.6 nM
TPD-JXMN28	IC50_1	BRD4	O60885	.	4210 nM
TPD-AMFFD0	IC50_1	BRD4	O60885	.	5900 nM
TPD-MWVEWJ	IC50_1	BRD4	O60885	.	84.7 nM
TPD-MRP2GU	IC50_1	BRD4	O60885	.	24.9 nM
TPD-ZJ8VG3	IC50_1	BRD4	O60885	.	87.2 nM
TPD-SWF6CZ	IC50_1	BRD4	O60885	.	19.3 nM
TPD-17BBJ5	IC50_1	BRD4	O60885	.	25.8 nM
TPD-6OEQQU	IC50_2	BRD4	O60885	.	271 nM
TPD-79ZJ5R	IC50_2	BRD4	O60885	.	156 nM
TPD-MERCNF	IC50_2	BRD4	O60885	.	187 nM
TPD-2Q9NZ5	IC50_2	BRD4	O60885	.	152 nM
TPD-CEUNNZ	IC50_2	BRD4	O60885	.	150 nM
TPD-TAGYBJ	IC50_2	BRD4	O60885	.	109 nM
TPD-K47317	IC50_2	BRD4	O60885	.	118 nM
TPD-VJEWOR	IC50_2	BRD4	O60885	.	78.4 nM
TPD-JXMN28	IC50_2	BRD4	O60885	.	>20000 nM
TPD-AMFFD0	IC50_2	BRD4	O60885	.	>20000 nM
TPD-MWVEWJ	IC50_2	BRD4	O60885	.	417 nM
TPD-MRP2GU	IC50_2	BRD4	O60885	.	136 nM
TPD-ZJ8VG3	IC50_2	BRD4	O60885	.	588 nM
TPD-SWF6CZ	IC50_2	BRD4	O60885	.	166 nM
TPD-17BBJ5	IC50_2	BRD4	O60885	.	307 nM
TPD-79ZJ5R	DC50_1	BRD4	O60885	HEK293	2910 pM
TPD-2Q9NZ5	DC50_1	BRD4	O60885	HEK293	689 pM
TPD-K47317	DC50_1	BRD4	O60885	HEK293	24400 pM
TPD-MWVEWJ	DC50_1	BRD4	O60885	HEK293	8890 pM
TPD-MRP2GU	DC50_1	BRD4	O60885	HEK293	39300 pM
TPD-ZJ8VG3	DC50_1	BRD4	O60885	HEK293	1350 pM
TPD-6OEQQU	DC50_2	BRD4	O60885	HEK293	80 pM
TPD-79ZJ5R	DC50_2	BRD4	O60885	HEK293	126 pM
TPD-MERCNF	DC50_2	BRD4	O60885	HEK293	57 pM
TPD-2Q9NZ5	DC50_2	BRD4	O60885	HEK293	127 pM
TPD-CEUNNZ	DC50_2	BRD4	O60885	HEK293	9150 pM
TPD-TAGYBJ	DC50_2	BRD4	O60885	HEK293	10100 pM
TPD-K47317	DC50_2	BRD4	O60885	HEK293	7610 pM
TPD-VJEWOR	DC50_2	BRD4	O60885	HEK293	16500 pM
TPD-JXMN28	DC50_2	BRD4	O60885	HEK293	55100 pM
TPD-AMFFD0	DC50_2	BRD4	O60885	HEK293	51700 pM
TPD-MWVEWJ	DC50_2	BRD4	O60885	HEK293	907 pM
TPD-MRP2GU	DC50_2	BRD4	O60885	HEK293	10600 pM
TPD-ZJ8VG3	DC50_2	BRD4	O60885	HEK293	321 pM
TPD-SWF6CZ	DC50_2	BRD4	O60885	HEK293	174 pM
TPD-17BBJ5	DC50_2	BRD4	O60885	HEK293	234 pM
TPD-FR2EPP	DC50_2	BRD4	O60885	HEK293	21900 pM
TPD-KH6JND	DC50_2	BRD4	O60885	HEK293	12300 pM
TPD-WWK6TZ	DC50_2	BRD4	O60885	HEK293	28100 pM
TPD-B3CAG0	IC50_1	ALK	Q9UM73	.	15.6nM
TPD-39NPVX	IC50_1	ALK	Q9UM73	.	33.8nM
TPD-FSINIM	IC50_1	ALK	Q9UM73	.	12.2nM
TPD-XWAJII	IC50_2	.	.	MV-4-11	201.6nM
TPD-TSY1BY	IC50_2	.	.	MV-4-11	22.47nM
TPD-S2RV6J	IC50_2	.	.	MV-4-11	51.68nM
TPD-ETU6TA	IC50_2	.	.	MV-4-11	61.28nM
TPD-WN5OX3	IC50_2	.	.	MV-4-11	73.79nM
TPD-NZDE8H	IC50_2	.	.	MV-4-11	70.6nM
TPD-CBGL5S	IC50_2	.	.	MV-4-11	11.31nM
TPD-SWGXE9	IC50_2	.	.	MV-4-11	16.58nM
TPD-5JP3A6	IC50_2	.	.	MV-4-11	17.01nM
TPD-JEAEYC	IC50_2	.	.	MV-4-11	35.35nM
TPD-UYPSXG	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-KS4M34	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-AKB3B0	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-8237LF	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-OLAGO1	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-96MJNA	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-TQV9S1	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-3528SC	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-O68RDE	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-T0D6JP	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-DMT53O	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-U8E4CR	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-Q71E9X	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-JDIA8J	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-3GOXEE	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-4GLPP6	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-BGL4DB	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-MRSA7J	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-12IWBC	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-RML06U	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-59YST6	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-0B67MC	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-OVTIBW	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-NEVVR4	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-6TAO0V	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-LTL5WL	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-VRAANV	Dmax_1(10nM)	AR	P10275	VCap	B
TPD-KHCDF0	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-2PFK0Z	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-9UDHEL	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-VKB8MH	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-PDSUCS	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-FXJH4V	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-G04ODZ	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-FU92EU	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-RUVTG7	Dmax_1(10nM)	AR	P10275	VCap	D
TPD-39HCP1	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-IWRY4C	Dmax_1(10nM)	AR	P10275	VCap	C
TPD-EIFGU4	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-KNZLME	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-OMQQD6	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-EZ2Y6P	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-L4PQHY	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-DVZUVT	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-RLNUHD	Dmax_1(10nM)	AR	P10275	VCap	A
TPD-UYPSXG	Dmax_2(100nM)	AR	P10275	VCap	C
TPD-KS4M34	Dmax_2(100nM)	AR	P10275	VCap	C
TPD-AKB3B0	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-8237LF	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-OLAGO1	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-96MJNA	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-TQV9S1	Dmax_2(100nM)	AR	P10275	VCap	D
TPD-3528SC	Dmax_2(100nM)	AR	P10275	VCap	D
TPD-O68RDE	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-T0D6JP	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-DMT53O	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-U8E4CR	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-Q71E9X	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-JDIA8J	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-3GOXEE	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-4GLPP6	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-BGL4DB	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-MRSA7J	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-12IWBC	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-RML06U	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-59YST6	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-0B67MC	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-OVTIBW	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-NEVVR4	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-6TAO0V	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-LTL5WL	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-VRAANV	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-KHCDF0	Dmax_2(100nM)	AR	P10275	VCap	D
TPD-2PFK0Z	Dmax_2(100nM)	AR	P10275	VCap	D
TPD-9UDHEL	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-VKB8MH	Dmax_2(100nM)	AR	P10275	VCap	C
TPD-PDSUCS	Dmax_2(100nM)	AR	P10275	VCap	C
TPD-FXJH4V	Dmax_2(100nM)	AR	P10275	VCap	C
TPD-G04ODZ	Dmax_2(100nM)	AR	P10275	VCap	D
TPD-FU92EU	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-RUVTG7	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-39HCP1	Dmax_2(100nM)	AR	P10275	VCap	B
TPD-IWRY4C	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-EIFGU4	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-KNZLME	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-OMQQD6	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-EZ2Y6P	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-L4PQHY	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-DVZUVT	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-RLNUHD	Dmax_2(100nM)	AR	P10275	VCap	A
TPD-DFPT5G	Dmax_3(10nM)	AR	P10275	MDA-MB-453	D
TPD-26VRBT	Dmax_3(10nM)	AR	P10275	MDA-MB-453	D
TPD-ZH0XLP	Dmax_3(10nM)	AR	P10275	MDA-MB-453	D
TPD-K1WMAH	Dmax_3(10nM)	AR	P10275	MDA-MB-453	B
TPD-DFPT5G	Dmax_4(100nM)	AR	P10275	MDA-MB-453	C
TPD-26VRBT	Dmax_4(100nM)	AR	P10275	MDA-MB-453	C
TPD-ZH0XLP	Dmax_4(100nM)	AR	P10275	MDA-MB-453	C
TPD-K1WMAH	Dmax_4(100nM)	AR	P10275	MDA-MB-453	A
TPD-I55RNW	DC50_1	BRAF	P15056	T-REx 293	B
TPD-O90BC2	DC50_1	BRAF	P15056	T-REx 293	B
TPD-CHXBY6	DC50_1	BRAF	P15056	T-REx 293	B
TPD-WAWD7S	DC50_1	BRAF	P15056	T-REx 293	C
TPD-RYRYJ6	DC50_1	BRAF	P15056	T-REx 293	D
TPD-9TOOGR	DC50_1	BRAF	P15056	T-REx 293	A
TPD-WUW2CA	DC50_1	BRAF	P15056	T-REx 293	B
TPD-67S960	DC50_1	BRAF	P15056	T-REx 293	B
TPD-ITEVY0	DC50_1	BRAF	P15056	T-REx 293	C
TPD-J7WTTQ	DC50_1	BRAF	P15056	T-REx 293	B
TPD-3XH687	DC50_1	BRAF	P15056	T-REx 293	B
TPD-BDNZ9G	DC50_1	BRAF	P15056	T-REx 293	B
TPD-HFO48G	DC50_1	BRAF	P15056	T-REx 293	D
TPD-VDEZFK	DC50_1	BRAF	P15056	T-REx 293	D
TPD-ZXW5EU	DC50_1	BRAF	P15056	T-REx 293	D
TPD-QK8P02	DC50_1	BRAF	P15056	T-REx 293	C
TPD-ARXOLI	DC50_1	BRAF	P15056	T-REx 293	D
TPD-6MS986	DC50_1	BRAF	P15056	T-REx 293	C
TPD-XIQVJI	DC50_1	BRAF	P15056	T-REx 293	B
TPD-5BWSDF	DC50_1	BRAF	P15056	T-REx 293	B
TPD-OS66S1	DC50_1	BRAF	P15056	T-REx 293	B
TPD-NQW3A6	DC50_1	BRAF	P15056	T-REx 293	B
TPD-RYDMXD	DC50_1	BRAF	P15056	T-REx 293	D
TPD-ENF6KY	DC50_1	BRAF	P15056	T-REx 293	A
TPD-RM5CP7	DC50_1	BRAF	P15056	T-REx 293	B
TPD-A4F04V	DC50_1	BRAF	P15056	T-REx 293	D
TPD-QXQQIK	DC50_1	BRAF	P15056	T-REx 293	B
TPD-N3MN30	DC50_1	BRAF	P15056	T-REx 293	C
TPD-29UVEN	DC50_1	BRAF	P15056	T-REx 293	B
TPD-FITZE7	DC50_1	BRAF	P15056	T-REx 293	D
TPD-DHWJUT	DC50_1	BRAF	P15056	T-REx 293	B
TPD-HHNFMG	DC50_1	BRAF	P15056	T-REx 293	A
TPD-WNINYV	DC50_1	BRAF	P15056	T-REx 293	B
TPD-MKICTL	DC50_1	BRAF	P15056	T-REx 293	C
TPD-99OHQG	DC50_1	BRAF	P15056	T-REx 293	B
TPD-OXU8VU	DC50_1	BRAF	P15056	T-REx 293	B
TPD-SE63FV	DC50_1	BRAF	P15056	T-REx 293	B
TPD-NUY345	DC50_1	BRAF	P15056	T-REx 293	B
TPD-5PD3EI	DC50_1	BRAF	P15056	T-REx 293	B
TPD-YGT4YS	DC50_1	BRAF	P15056	T-REx 293	B
TPD-QM594M	DC50_1	BRAF	P15056	T-REx 293	D
TPD-ZC3FGK	DC50_1	BRAF	P15056	T-REx 293	B
TPD-AQXLC3	DC50_1	BRAF	P15056	T-REx 293	C
TPD-X0XT4E	DC50_1	BRAF	P15056	T-REx 293	B
TPD-WRR0LP	DC50_1	BRAF	P15056	T-REx 293	B
TPD-P60KCI	DC50_1	BRAF	P15056	T-REx 293	B
TPD-8I4355	DC50_1	BRAF	P15056	T-REx 293	D
TPD-LJOVJ9	DC50_1	BRAF	P15056	T-REx 293	C
TPD-RJCZ8X	DC50_1	BRAF	P15056	T-REx 293	B
TPD-IEK561	DC50_1	BRAF	P15056	T-REx 293	B
TPD-CF5XM0	DC50_1	BRAF	P15056	T-REx 293	C
TPD-14WLMV	DC50_1	BRAF	P15056	T-REx 293	C
TPD-3V4NV2	DC50_1	BRAF	P15056	T-REx 293	B
TPD-U8Y89C	DC50_1	BRAF	P15056	T-REx 293	B
TPD-LVDNZT	DC50_1	BRAF	P15056	T-REx 293	B
TPD-PN30G6	DC50_1	BRAF	P15056	T-REx 293	B
TPD-3R5OEO	DC50_1	BRAF	P15056	T-REx 293	A
TPD-BPZ4L5	DC50_1	BRAF	P15056	T-REx 293	A
TPD-3IQVPH	DC50_1	BRAF	P15056	T-REx 293	B
TPD-2R3SQJ	DC50_1	BRAF	P15056	T-REx 293	B
TPD-MOPP40	DC50_1	BRAF	P15056	T-REx 293	B
TPD-ZXMCDE	DC50_1	BRAF	P15056	T-REx 293	A
TPD-KECEYQ	DC50_1	BRAF	P15056	T-REx 293	D
TPD-RXAUAF	DC50_1	BRAF	P15056	T-REx 293	B
TPD-KCEB21	DC50_1	BRAF	P15056	T-REx 293	B
TPD-Z99TA0	DC50_1	BRAF	P15056	T-REx 293	D
TPD-CX3LZL	DC50_1	BRAF	P15056	T-REx 293	B
TPD-YP5EDP	DC50_1	BRAF	P15056	T-REx 293	D
TPD-PMAXE4	DC50_1	BRAF	P15056	T-REx 293	B
TPD-TPGRBZ	DC50_1	BRAF	P15056	T-REx 293	B
TPD-V72TR8	DC50_1	BRAF	P15056	T-REx 293	B
TPD-BLFOVS	DC50_1	BRAF	P15056	T-REx 293	B
TPD-H1D2MJ	DC50_1	BRAF	P15056	T-REx 293	B
TPD-E5BTQA	DC50_1	BRAF	P15056	T-REx 293	B
TPD-7TF297	DC50_1	BRAF	P15056	T-REx 293	A
TPD-LBHJC7	DC50_1	BRAF	P15056	T-REx 293	B
TPD-MHGEZ3	DC50_1	BRAF	P15056	T-REx 293	B
TPD-6KVH0I	DC50_1	BRAF	P15056	T-REx 293	D
TPD-FRUSA7	DC50_1	BRAF	P15056	T-REx 293	B
TPD-I38YON	DC50_1	BRAF	P15056	T-REx 293	A
TPD-I5ERQP	DC50_1	BRAF	P15056	T-REx 293	B
TPD-J0ZKN3	DC50_1	BRAF	P15056	T-REx 293	B
TPD-RAAY7U	DC50_1	BRAF	P15056	T-REx 293	C
TPD-H93WDE	DC50_1	BRAF	P15056	T-REx 293	B
TPD-XEUIOF	DC50_1	BRAF	P15056	T-REx 293	A
